trade_id,asset,side,entry_date,entry_price,exit_date,exit_price,lots,pnl_usd,pnl_pct,hold_days,exit_reason,is_dry_run
121,GBPJPY,LONG,2025-11-25,205.66900634765625,2025-12-02,205.4739990234375,0.4,-48.212290204088184,-0.09642458040817636,5,signal_flat,True
122,GBPJPY,LONG,2025-12-04,207.0330047607422,2025-12-23,211.23599243164062,0.43,1086.5816666259739,2.1731633332519475,13,signal_flat,True
123,GBPJPY,LONG,2025-12-24,210.95599365234375,2026-01-07,211.51199340820312,0.49,163.5834651718951,0.32716693034379024,10,signal_flat,True
124,GBPJPY,LONG,2026-01-09,210.7729949951172,2026-01-13,212.7259979248047,0.54,629.6218714428753,1.2592437428857506,2,signal_flat,True
125,GBPJPY,LONG,2026-01-14,213.70799255371094,2026-01-15,212.8979949951172,0.53,-256.0894745401231,-0.5121789490802462,1,signal_flat,True
126,GBPJPY,LONG,2026-01-21,212.56399536132812,2026-01-26,211.9810028076172,0.51,-178.13118724665532,-0.35626237449331066,3,signal_flat,True
127,GBPJPY,LONG,2026-01-29,211.63900756835938,2026-01-30,211.42999267578125,0.49,-61.51916575564747,-0.12303833151129495,1,signal_flat,True
128,GBPJPY,LONG,2026-02-02,212.28199768066406,2026-02-06,211.9969940185547,0.48,-81.95315845217543,-0.16390631690435087,4,signal_reverse,True
129,GBPJPY,SHORT,2026-02-06,211.9969940185547,2026-02-09,213.98300170898438,0.49,-577.5657766663172,-1.1551315533326345,1,signal_reverse,True
130,GBPJPY,LONG,2026-02-09,213.98300170898438,2026-02-10,213.60000610351562,0.42,-95.64131559903961,-0.19128263119807923,1,signal_flat,True
131,GBPJPY,SHORT,2026-02-11,210.61000061035156,2026-02-20,208.84500122070312,0.39,418.5899555091721,0.8371799110183441,7,signal_flat,True
132,GBPJPY,LONG,2026-02-25,210.3719940185547,2026-02-26,211.76600646972656,0.33,275.8849864648379,0.5517699729296758,1,signal_flat,True
133,GBPJPY,LONG,2026-03-06,210.4149932861328,2026-03-16,211.3699951171875,0.31,177.87965632386835,0.3557593126477367,6,signal_reverse,True
134,GBPJPY,SHORT,2026-03-16,211.3699951171875,2026-03-17,211.82200622558594,0.46,-124.66357685477857,-0.2493271537095571,1,signal_flat,True
135,GBPJPY,LONG,2026-03-18,212.23699951171875,2026-03-19,211.94000244140625,0.45,-80.08579018985291,-0.16017158037970583,1,signal_flat,True
136,GBPJPY,LONG,2026-03-25,212.9320068359375,2026-03-30,212.0970001220703,0.51,-254.99363416762418,-0.5099872683352483,3,signal_flat,True
137,GBPJPY,LONG,2026-04-01,209.9409942626953,2026-04-14,215.18600463867188,0.63,1950.1885398473878,3.900377079694776,9,signal_flat,True
138,GBPJPY,LONG,2026-04-15,215.56500244140625,2026-04-20,214.583251953125,0.55,-319.5742024704955,-0.639148404940991,3,signal_flat,True
139,GBPJPY,LONG,2026-04-21,214.93099975585938,2026-05-01,213.53500366210938,0.54,-448.3452851639569,-0.8966905703279137,8,signal_flat,True
